id,question,character,career
4,"Tôi có thể vận hành, điều khiển các máy móc thiết bị",R,"Cơ khí & Xây dựng: Kỹ sư cơ khí, chế tạo máy, luyện kim, điện lạnh, xây dựng, giao thông, thủy lợi, trắc địa, mỏ, địa chất, dầu khí, vận tải, hàng hải.
Điện, điện tử: Kỹ sư điện, điện tử, phần cứng máy tính, viễn thông, tự động hóa."
6,"Tôi thích tiếp xúc với thiên nhiên, động vật, cây cỏ",R,"Thiên nhiên & Nông nghiệp: Kỹ sư nông nghiệp, lâm nghiệp, thủy sản, bác sỹ thú y"
8,"Tôi thích làm việc ngoài trời hơn là trong phòng học, văn phòng",R,"Quân sự, thể thao và các dịch vụ bảo vệ: Kỹ thuật quân sự, an ninh, vận động viên, huấn luyện viên, giám sát phòng cháy, chữa cháy, giám sát chất lượng, an toàn lao động"
5,"Tôi làm các công việc thủ công như gấp giấy, đan, móc",R,"Các nghề thợ: Thợ thêu dệt, thợ may, thợ thủ công"
13,Tôi thích thực hiện các thí nghiệm hay nghiên cứu,I,"Nghiên cứu khoa học: Nhà toán học, nhà vật lý học, nhà thiên văn học, nhà hóa học, nhà sinh vật học, sinh thái học (động vật, thực vật, thổ nhưỡng, nông học, lâm học, bệnh học thủy sản, thú y, bệnh học cây trồng)"
12,"Tôi thích những hoạt động điều tra, phân loại, kiểm tra, đánh giá",I,"Kỹ thuật công nghệ: Công nghệ thông tin, công nghệ sinh học, khoa học môi trường, khí tượng thủy văn, hải dương học, nhà nghiên cứu địa lý, địa chất, nghiên cứu xây dựng, nghiên cứu vật liệu mới, chuyên gia dinh dưỡng, kỹ sư hóa thực phẩm (công nghệ thực phẩm)"
16,"Tôi có khả năng tổng hợp, khái quát, suy đoán những vấn đề",I,"Y khoa: Bác sĩ (nhi khoa, đa khoa, nha khoa, phẫu thuật / chỉnh hình, tâm thần), dược sỹ, y học cổ truyền"
25,"Tôi có khả năng viết, trình bày những ý tưởng của mình",A,"Viết và truyền thông: nhà văn, nhà thơ, nhà báo, nhạc sĩ, designer, nhà phê bình văn học/âm nhạc/điện ảnh."
22,"Tôi có khả năng thuyết trình, diễn xuất, năng khiếu âm nhạc",A,"Nghệ thuật biểu diễn: ca sĩ, diễn viên, biên đạo, đạo diễn, MC, phát thanh viên, nghệ sĩ biểu diễn nhạc cụ."
23,"Tôi có thể chụp hình hoặc vẽ tranh, trang trí, điêu khắc",A,"Nghệ thuật hình ảnh và tạo hình: họa sĩ, nhà mỹ thuật, điêu khắc, thiết kế đồ họa, thiết kế thời trang, kiến trúc sư, nhiếp ảnh gia."
36,"Tôi có khả năng hòa giải, giải quyết những sự việc mâu thuẫn",S,"Khoa học xã hội: nhà tâm lý học, nhà ngôn ngữ học, nhà xã hội học, nhà sử học, nhà khảo cổ học, nhà triết học, nhà chính trị học."
35,Tôi mong muốn mình có thể đóng góp để xã hội tốt đẹp hơn,S,"Tư vấn và giúp đỡ: công tác xã hội, dịch vụ xã hội, công tác đoàn đội, tình nguyện viên, chăm sóc trẻ em, người già, người khuyết tật, nhân viên phục vụ, chăm sóc khách hàng."
31,"Tôi thích khuyên bảo, huấn luyện hay giảng giải cho người khác",S,"Giáo dục và đào tạo – Sư phạm: Tư vấn hướng nghiệp, tư vấn giáo dục, tư vấn tâm lý, giáo viên, giảng viên, huấn luyện viên."
33,Tôi thích các hoạt động chăm sóc sức khỏe của bản thân và người khác,S,"Dịch vụ chăm sóc sức khỏe: bác sĩ, y tá, điều dưỡng, chuyên viên vật lý trị liệu, y tế công cộng, y tế học đường, hộ sinh, y tế dự phòng."
45,"Tôi thích các việc quản lý, đánh giá",E,"Quản lý, kinh doanh: Quản trị kinh doanh, quản trị doanh nghiệp, quản lý kinh tế, quản trị nhân sự, đại lý cung cấp các sản phẩm, môi giới chứng khoán, bất động sản, quản trị trung tâm đào tạo/trường học, quản trị công ty du lịch, khách sạn, nhà hàng, kế toán trưởng."
42,"Tôi thường đặt ra các mục tiêu, kế hoạch trong cuộc sống",E,"Marketing và bán hàng: Nghiên cứu thị trường, tiếp thị, bán hàng, truyền thông, quan hệ công chúng, tổ chức sự kiện"
37,"Tôi là người có tính phiêu lưu, mạo hiểm",E,"Chính trị và diễn thuyết: nhà ngoại giao, chính trị gia, diễn giả"
40,"Tôi có khả năng diễn đạt, tranh luận, và thuyết phục người khác",E,"Luật: luật sư, trợ lý pháp lý, sỹ quan cảnh sát"
53,"Tôi thích các công việc lưu trữ, phân loại, cập nhật thông tin",C,"Quản trị văn phòng: Quản trị văn phòng, thư ký văn phòng, hành chính, quản lý hồ sơ, nhân viên đánh máy, biên soạn hồ sơ, nhân viên lễ tân, điện thoại viên"
52,Tôi thích dự kiến các khoản thu chi,C,"Tài chính, kế toán, đầu tư: Tài chính, ngân hàng, đầu tư, kế toán, kiểm toán, nhân viên thuế, nhân viên thu ngân, quản lý quỹ, bán lẻ"
49,"Tôi thích công việc tính toán sổ sách, ghi chép số liệu",C,"Thư viện, thông tin: Thống kê, lưu trữ, thư viện, hệ thống thông tin"
